order_id,arrival_time,pick_start,pick_end,pack_start,pack_end
SYN-0032,2026-01-05T10:20:09.286748+00:00,2026-01-05T10:20:09.286748+00:00,2026-01-05T10:27:09.519293+00:00,2026-01-05T10:27:09.519293+00:00,2026-01-05T10:34:34.042853+00:00
SYN-0033,2026-01-05T10:38:50.591557+00:00,2026-01-05T10:38:50.591557+00:00,2026-01-05T10:43:15.847831+00:00,2026-01-05T10:43:15.847831+00:00,2026-01-05T10:48:29.932372+00:00
SYN-0034,2026-01-05T10:39:21.130238+00:00,2026-01-05T10:39:21.130238+00:00,2026-01-05T10:45:36.088811+00:00,2026-01-05T10:45:36.088811+00:00,2026-01-05T10:52:00.691926+00:00
SYN-0035,2026-01-05T10:44:55.610309+00:00,2026-01-05T10:44:55.610309+00:00,2026-01-05T10:49:53.212019+00:00,2026-01-05T10:49:53.212019+00:00,2026-01-05T10:56:53.627677+00:00
SYN-0036,2026-01-05T10:50:31.344459+00:00,2026-01-05T10:50:31.344459+00:00,2026-01-05T10:56:31.123853+00:00,2026-01-05T10:56:31.123853+00:00,2026-01-05T11:03:25.392568+00:00
SYN-0037,2026-01-05T10:58:56.427754+00:00,2026-01-05T10:58:56.427754+00:00,2026-01-05T11:01:14.231848+00:00,2026-01-05T11:01:14.231848+00:00,2026-01-05T11:05:29.273403+00:00
SYN-0038,2026-01-05T10:59:00.026807+00:00,2026-01-05T10:59:00.026807+00:00,2026-01-05T11:03:59.383366+00:00,2026-01-05T11:03:59.383366+00:00,2026-01-05T11:07:09.437457+00:00
SYN-0039,2026-01-05T11:00:33.131254+00:00,2026-01-05T11:01:14.231848+00:00,2026-01-05T11:05:27.590217+00:00,2026-01-05T11:05:29.273403+00:00,2026-01-05T11:14:19.188201+00:00
SYN-0040,2026-01-05T11:00:43.741589+00:00,2026-01-05T11:03:59.383366+00:00,2026-01-05T11:07:33.136673+00:00,2026-01-05T11:07:33.136673+00:00,2026-01-05T11:13:15.720478+00:00
SYN-0041,2026-01-05T11:05:22.634989+00:00,2026-01-05T11:05:27.590217+00:00,2026-01-05T11:09:10.852068+00:00,2026-01-05T11:13:15.720478+00:00,2026-01-05T11:21:34.802270+00:00
SYN-0042,2026-01-05T11:06:50.224922+00:00,2026-01-05T11:07:33.136673+00:00,2026-01-05T11:09:16.609298+00:00,2026-01-05T11:14:19.188201+00:00,2026-01-05T11:19:40.714193+00:00
SYN-0043,2026-01-05T11:17:31.541357+00:00,2026-01-05T11:17:31.541357+00:00,2026-01-05T11:23:15.980626+00:00,2026-01-05T11:23:15.980626+00:00,2026-01-05T11:27:11.780574+00:00
SYN-0044,2026-01-05T11:19:05.487375+00:00,2026-01-05T11:19:05.487375+00:00,2026-01-05T11:23:33.255701+00:00,2026-01-05T11:23:33.255701+00:00,2026-01-05T11:29:03.943365+00:00
SYN-0045,2026-01-05T11:24:03.263498+00:00,2026-01-05T11:24:03.263498+00:00,2026-01-05T11:31:55.052769+00:00,2026-01-05T11:31:55.052769+00:00,2026-01-05T11:41:45.913126+00:00
SYN-0046,2026-01-05T11:30:47.934236+00:00,2026-01-05T11:30:47.934236+00:00,2026-01-05T11:33:26.440561+00:00,2026-01-05T11:33:26.440561+00:00,2026-01-05T11:41:32.824520+00:00
SYN-0047,2026-01-05T11:31:42.544578+00:00,2026-01-05T11:31:55.052769+00:00,2026-01-05T11:35:29.828405+00:00,2026-01-05T11:41:32.824520+00:00,2026-01-05T11:51:43.493261+00:00
SYN-0048,2026-01-05T11:34:25.298909+00:00,2026-01-05T11:34:25.298909+00:00,2026-01-05T11:38:05.747063+00:00,2026-01-05T11:41:45.913126+00:00,2026-01-05T11:52:10.635771+00:00
SYN-0049,2026-01-05T11:44:56.442405+00:00,2026-01-05T11:44:56.442405+00:00,2026-01-05T11:49:24.014815+00:00,2026-01-05T11:51:43.493261+00:00,2026-01-05T11:56:35.614282+00:00
SYN-0050,2026-01-05T11:47:26.139617+00:00,2026-01-05T11:47:26.139617+00:00,2026-01-05T11:51:50.291786+00:00,2026-01-05T11:52:10.635771+00:00,2026-01-05T11:59:10.326228+00:00
SYN-0051,2026-01-05T11:48:55.305751+00:00,2026-01-05T11:49:24.014815+00:00,2026-01-05T11:52:01.753420+00:00,2026-01-05T11:56:35.614282+00:00,2026-01-05T12:01:03.496773+00:00
SYN-0052,2026-01-05T11:49:57.482342+00:00,2026-01-05T11:51:50.291786+00:00,2026-01-05T11:56:53.245053+00:00,2026-01-05T11:59:10.326228+00:00,2026-01-05T12:05:04.934381+00:00
SYN-0053,2026-01-05T11:55:06.277642+00:00,2026-01-05T11:55:06.277642+00:00,2026-01-05T11:58:10.843313+00:00,2026-01-05T12:01:03.496773+00:00,2026-01-05T12:06:05.588070+00:00
SYN-0054,2026-01-05T11:55:49.101397+00:00,2026-01-05T11:56:53.245053+00:00,2026-01-05T12:02:30.619959+00:00,2026-01-05T12:06:05.588070+00:00,2026-01-05T12:14:00.366658+00:00
SYN-0055,2026-01-05T11:58:54.317310+00:00,2026-01-05T11:58:54.317310+00:00,2026-01-05T12:01:31.926277+00:00,2026-01-05T12:05:04.934381+00:00,2026-01-05T12:13:31.072540+00:00
SYN-0056,2026-01-05T12:01:36.499246+00:00,2026-01-05T12:01:36.499246+00:00,2026-01-05T12:15:44.312285+00:00,2026-01-05T12:20:46.864282+00:00,2026-01-05T12:24:01.567154+00:00
SYN-0057,2026-01-05T12:04:17.753833+00:00,2026-01-05T12:04:17.753833+00:00,2026-01-05T12:09:25.164029+00:00,2026-01-05T12:13:31.072540+00:00,2026-01-05T12:22:57.816492+00:00
SYN-0058,2026-01-05T12:04:45.488106+00:00,2026-01-05T12:09:25.164029+00:00,2026-01-05T12:13:41.128659+00:00,2026-01-05T12:14:00.366658+00:00,2026-01-05T12:20:46.864282+00:00
SYN-0059,2026-01-05T12:08:20.407777+00:00,2026-01-05T12:13:41.128659+00:00,2026-01-05T12:18:37.082842+00:00,2026-01-05T12:22:57.816492+00:00,2026-01-05T12:29:47.663043+00:00
SYN-0060,2026-01-05T12:16:37.059521+00:00,2026-01-05T12:16:37.059521+00:00,2026-01-05T12:20:43.066454+00:00,2026-01-05T12:24:01.567154+00:00,2026-01-05T12:33:47.106445+00:00
SYN-0061,2026-01-05T12:17:53.862581+00:00,2026-01-05T12:18:37.082842+00:00,2026-01-05T12:23:56.512003+00:00,2026-01-05T12:29:47.663043+00:00,2026-01-05T12:34:12.349743+00:00
SYN-0062,2026-01-05T12:19:14.577917+00:00,2026-01-05T12:20:43.066454+00:00,2026-01-05T12:29:41.592302+00:00,2026-01-05T12:33:47.106445+00:00,2026-01-05T12:36:55.819686+00:00
SYN-0063,2026-01-05T12:27:14.046675+00:00,2026-01-05T12:27:14.046675+00:00,2026-01-05T12:31:37.609980+00:00,2026-01-05T12:34:12.349743+00:00,2026-01-05T12:48:56.683104+00:00
SYN-0064,2026-01-05T12:30:06.760334+00:00,2026-01-05T12:30:06.760334+00:00,2026-01-05T12:39:08.422710+00:00,2026-01-05T12:48:35.086892+00:00,2026-01-05T12:51:44.559808+00:00
SYN-0065,2026-01-05T12:31:10.409955+00:00,2026-01-05T12:31:37.609980+00:00,2026-01-05T12:38:43.744786+00:00,2026-01-05T12:38:43.744786+00:00,2026-01-05T12:48:35.086892+00:00
SYN-0066,2026-01-05T12:31:12.372221+00:00,2026-01-05T12:38:43.744786+00:00,2026-01-05T12:50:33.728826+00:00,2026-01-05T12:55:19.764585+00:00,2026-01-05T13:01:31.991509+00:00
SYN-0067,2026-01-05T12:35:52.263905+00:00,2026-01-05T12:39:08.422710+00:00,2026-01-05T12:46:12.935538+00:00,2026-01-05T12:48:56.683104+00:00,2026-01-05T12:55:19.764585+00:00
SYN-0068,2026-01-05T12:37:17.807275+00:00,2026-01-05T12:46:12.935538+00:00,2026-01-05T12:50:00.694312+00:00,2026-01-05T12:51:44.559808+00:00,2026-01-05T12:56:53.180416+00:00
SYN-0069,2026-01-05T12:39:23.713682+00:00,2026-01-05T12:50:00.694312+00:00,2026-01-05T12:56:06.006879+00:00,2026-01-05T12:56:53.180416+00:00,2026-01-05T13:05:08.616197+00:00
SYN-0070,2026-01-05T12:40:27.342758+00:00,2026-01-05T12:50:33.728826+00:00,2026-01-05T13:06:05.841582+00:00,2026-01-05T13:06:05.841582+00:00,2026-01-05T13:09:08.901418+00:00
SYN-0071,2026-01-05T12:43:47.877034+00:00,2026-01-05T12:56:06.006879+00:00,2026-01-05T13:02:04.364438+00:00,2026-01-05T13:02:04.364438+00:00,2026-01-05T13:09:41.221954+00:00
SYN-0072,2026-01-05T12:48:08.992875+00:00,2026-01-05T13:02:04.364438+00:00,2026-01-05T13:10:16.397378+00:00,2026-01-05T13:10:16.397378+00:00,2026-01-05T13:19:55.495087+00:00
SYN-0073,2026-01-05T12:49:23.144197+00:00,2026-01-05T13:06:05.841582+00:00,2026-01-05T13:14:36.277018+00:00,2026-01-05T13:14:36.277018+00:00,2026-01-05T13:22:05.701900+00:00
SYN-0074,2026-01-05T12:49:38.742952+00:00,2026-01-05T13:10:16.397378+00:00,2026-01-05T13:17:28.383398+00:00,2026-01-05T13:19:55.495087+00:00,2026-01-05T13:22:31.430622+00:00
SYN-0075,2026-01-05T13:04:04.107182+00:00,2026-01-05T13:14:36.277018+00:00,2026-01-05T13:22:36.947375+00:00,2026-01-05T13:22:36.947375+00:00,2026-01-05T13:34:42.642402+00:00
SYN-0076,2026-01-05T13:12:05.787702+00:00,2026-01-05T13:17:28.383398+00:00,2026-01-05T13:20:42.118991+00:00,2026-01-05T13:22:05.701900+00:00,2026-01-05T13:28:45.034829+00:00
SYN-0077,2026-01-05T13:12:09.963267+00:00,2026-01-05T13:20:42.118991+00:00,2026-01-05T13:24:13.952679+00:00,2026-01-05T13:28:45.034829+00:00,2026-01-05T13:36:30.446710+00:00
SYN-0078,2026-01-05T13:14:56.070668+00:00,2026-01-05T13:22:36.947375+00:00,2026-01-05T13:24:58.304012+00:00,2026-01-05T13:34:42.642402+00:00,2026-01-05T13:40:03.499725+00:00
SYN-0079,2026-01-05T13:18:47.742062+00:00,2026-01-05T13:24:13.952679+00:00,2026-01-05T13:34:33.348582+00:00,2026-01-05T13:40:03.499725+00:00,2026-01-05T13:46:06.344588+00:00
SYN-0080,2026-01-05T13:20:30.913966+00:00,2026-01-05T13:24:58.304012+00:00,2026-01-05T13:33:01.887107+00:00,2026-01-05T13:36:30.446710+00:00,2026-01-05T13:46:25.853796+00:00
SYN-0081,2026-01-05T13:24:53.999501+00:00,2026-01-05T13:33:01.887107+00:00,2026-01-05T13:47:15.554465+00:00,2026-01-05T13:47:15.554465+00:00,2026-01-05T13:55:13.512551+00:00
SYN-0082,2026-01-05T13:35:36.853445+00:00,2026-01-05T13:35:36.853445+00:00,2026-01-05T13:43:27.402263+00:00,2026-01-05T13:46:06.344588+00:00,2026-01-05T13:56:02.513691+00:00
SYN-0083,2026-01-05T13:38:35.244575+00:00,2026-01-05T13:43:27.402263+00:00,2026-01-05T13:48:03.297172+00:00,2026-01-05T13:55:13.512551+00:00,2026-01-05T14:03:57.448961+00:00
SYN-0084,2026-01-05T13:40:14.620517+00:00,2026-01-05T13:47:15.554465+00:00,2026-01-05T13:54:13.618300+00:00,2026-01-05T13:56:02.513691+00:00,2026-01-05T14:01:03.381529+00:00
SYN-0085,2026-01-05T13:40:58.164215+00:00,2026-01-05T13:48:03.297172+00:00,2026-01-05T13:54:32.189623+00:00,2026-01-05T14:01:03.381529+00:00,2026-01-05T14:10:24.606475+00:00
SYN-0086,2026-01-05T13:41:56.079244+00:00,2026-01-05T13:54:13.618300+00:00,2026-01-05T14:05:10.457679+00:00,2026-01-05T14:13:45.766198+00:00,2026-01-05T14:22:22.319811+00:00
SYN-0087,2026-01-05T13:42:28.771704+00:00,2026-01-05T13:54:32.189623+00:00,2026-01-05T13:57:56.586160+00:00,2026-01-05T14:03:57.448961+00:00,2026-01-05T14:17:00.330583+00:00
SYN-0088,2026-01-05T13:42:52.170125+00:00,2026-01-05T13:57:56.586160+00:00,2026-01-05T14:02:48.999543+00:00,2026-01-05T14:10:24.606475+00:00,2026-01-05T14:13:45.766198+00:00
SYN-0089,2026-01-05T13:43:39.920500+00:00,2026-01-05T14:02:48.999543+00:00,2026-01-05T14:13:43.340834+00:00,2026-01-05T14:22:22.319811+00:00,2026-01-05T14:26:21.223162+00:00
SYN-0090,2026-01-05T13:49:48.983297+00:00,2026-01-05T14:05:10.457679+00:00,2026-01-05T14:11:37.885738+00:00,2026-01-05T14:17:00.330583+00:00,2026-01-05T14:25:24.422586+00:00
SYN-0091,2026-01-05T13:52:22.979423+00:00,2026-01-05T14:11:37.885738+00:00,2026-01-05T14:17:40.472259+00:00,2026-01-05T14:26:21.223162+00:00,2026-01-05T14:36:06.649025+00:00
SYN-0092,2026-01-05T13:57:49.864706+00:00,2026-01-05T14:13:43.340834+00:00,2026-01-05T14:17:23.415353+00:00,2026-01-05T14:25:24.422586+00:00,2026-01-05T14:34:13.736834+00:00
SYN-0093,2026-01-05T14:06:15.475380+00:00,2026-01-05T14:17:23.415353+00:00,2026-01-05T14:22:32.701426+00:00,2026-01-05T14:34:13.736834+00:00,2026-01-05T14:44:29.239568+00:00
SYN-0094,2026-01-05T14:11:48.449316+00:00,2026-01-05T14:17:40.472259+00:00,2026-01-05T14:25:40.091401+00:00,2026-01-05T14:36:06.649025+00:00,2026-01-05T14:40:10.041440+00:00
SYN-0095,2026-01-05T14:11:58.590732+00:00,2026-01-05T14:22:32.701426+00:00,2026-01-05T14:27:43.134673+00:00,2026-01-05T14:40:10.041440+00:00,2026-01-05T14:43:35.734649+00:00
SYN-0096,2026-01-05T14:20:39.218175+00:00,2026-01-05T14:25:40.091401+00:00,2026-01-05T14:31:33.561260+00:00,2026-01-05T14:43:35.734649+00:00,2026-01-05T14:50:32.379224+00:00
SYN-0097,2026-01-05T14:20:58.694928+00:00,2026-01-05T14:27:43.134673+00:00,2026-01-05T14:36:32.611818+00:00,2026-01-05T14:44:29.239568+00:00,2026-01-05T14:57:16.510432+00:00
SYN-0098,2026-01-05T14:25:53.471686+00:00,2026-01-05T14:31:33.561260+00:00,2026-01-05T14:46:49.584093+00:00,2026-01-05T15:04:46.746477+00:00,2026-01-05T15:08:58.527778+00:00
SYN-0099,2026-01-05T14:31:58.671739+00:00,2026-01-05T14:36:32.611818+00:00,2026-01-05T14:39:03.405673+00:00,2026-01-05T14:50:32.379224+00:00,2026-01-05T15:09:44.122834+00:00
SYN-0100,2026-01-05T14:35:32.940067+00:00,2026-01-05T14:39:03.405673+00:00,2026-01-05T14:42:35.094783+00:00,2026-01-05T14:57:16.510432+00:00,2026-01-05T15:04:46.746477+00:00
SYN-0101,2026-01-05T14:37:16.336535+00:00,2026-01-05T14:42:35.094783+00:00,2026-01-05T14:49:17.422166+00:00,2026-01-05T15:08:58.527778+00:00,2026-01-05T15:14:06.655790+00:00
SYN-0102,2026-01-05T14:37:31.932534+00:00,2026-01-05T14:46:49.584093+00:00,2026-01-05T14:50:30.073686+00:00,2026-01-05T15:09:44.122834+00:00,2026-01-05T15:18:28.038007+00:00
SYN-0103,2026-01-05T14:37:49.732324+00:00,2026-01-05T14:49:17.422166+00:00,2026-01-05T14:53:34.018987+00:00,2026-01-05T15:14:06.655790+00:00,2026-01-05T15:22:33.999288+00:00
SYN-0104,2026-01-05T14:41:12.129009+00:00,2026-01-05T14:50:30.073686+00:00,2026-01-05T14:57:47.567915+00:00,2026-01-05T15:18:28.038007+00:00,2026-01-05T15:30:02.126363+00:00
SYN-0105,2026-01-05T14:42:07.465382+00:00,2026-01-05T14:53:34.018987+00:00,2026-01-05T15:03:12.883452+00:00,2026-01-05T15:22:33.999288+00:00,2026-01-05T15:30:06.622091+00:00
SYN-0106,2026-01-05T14:44:39.443514+00:00,2026-01-05T14:57:47.567915+00:00,2026-01-05T15:04:19.356167+00:00,2026-01-05T15:30:02.126363+00:00,2026-01-05T15:36:57.384480+00:00
SYN-0107,2026-01-05T14:45:41.082281+00:00,2026-01-05T15:03:12.883452+00:00,2026-01-05T15:15:21.194852+00:00,2026-01-05T15:38:17.675520+00:00,2026-01-05T15:44:16.520394+00:00
SYN-0108,2026-01-05T14:46:16.766296+00:00,2026-01-05T15:04:19.356167+00:00,2026-01-05T15:07:49.828882+00:00,2026-01-05T15:30:06.622091+00:00,2026-01-05T15:34:33.388772+00:00
SYN-0109,2026-01-05T14:47:26.745416+00:00,2026-01-05T15:07:49.828882+00:00,2026-01-05T15:11:26.455725+00:00,2026-01-05T15:34:33.388772+00:00,2026-01-05T15:38:17.675520+00:00
SYN-0110,2026-01-05T14:51:44.845397+00:00,2026-01-05T15:11:26.455725+00:00,2026-01-05T15:14:10.376674+00:00,2026-01-05T15:36:57.384480+00:00,2026-01-05T15:45:18.470932+00:00
SYN-0111,2026-01-05T14:53:58.268680+00:00,2026-01-05T15:14:10.376674+00:00,2026-01-05T15:16:14.099371+00:00,2026-01-05T15:44:16.520394+00:00,2026-01-05T15:48:53.704852+00:00
SYN-0112,2026-01-05T14:55:38.038142+00:00,2026-01-05T15:15:21.194852+00:00,2026-01-05T15:18:03.270181+00:00,2026-01-05T15:45:18.470932+00:00,2026-01-05T15:48:37.245303+00:00
SYN-0113,2026-01-05T14:57:51.332360+00:00,2026-01-05T15:16:14.099371+00:00,2026-01-05T15:20:47.826911+00:00,2026-01-05T15:48:37.245303+00:00,2026-01-05T15:52:04.330816+00:00
SYN-0114,2026-01-05T15:00:32.812386+00:00,2026-01-05T15:18:03.270181+00:00,2026-01-05T15:25:22.093400+00:00,2026-01-05T15:48:53.704852+00:00,2026-01-05T15:58:02.789097+00:00
SYN-0115,2026-01-05T15:02:57.809186+00:00,2026-01-05T15:20:47.826911+00:00,2026-01-05T15:25:38.708660+00:00,2026-01-05T15:52:04.330816+00:00,
SYN-0116,2026-01-05T15:04:55.587866+00:00,2026-01-05T15:25:22.093400+00:00,2026-01-05T15:29:33.833897+00:00,2026-01-05T15:58:02.789097+00:00,
SYN-0117,2026-01-05T15:16:20.188922+00:00,2026-01-05T15:25:38.708660+00:00,2026-01-05T15:32:21.573486+00:00,,
SYN-0118,2026-01-05T15:20:58.838361+00:00,2026-01-05T15:29:33.833897+00:00,2026-01-05T15:36:30.130709+00:00,,
SYN-0119,2026-01-05T15:21:50.867604+00:00,2026-01-05T15:32:21.573486+00:00,2026-01-05T15:37:32.138382+00:00,,
SYN-0120,2026-01-05T15:23:07.484513+00:00,2026-01-05T15:36:30.130709+00:00,2026-01-05T15:40:21.496949+00:00,,
SYN-0121,2026-01-05T15:23:49.332506+00:00,2026-01-05T15:37:32.138382+00:00,2026-01-05T15:44:28.668702+00:00,,
SYN-0122,2026-01-05T15:25:19.872823+00:00,2026-01-05T15:40:21.496949+00:00,2026-01-05T15:45:13.864411+00:00,,
SYN-0123,2026-01-05T15:25:25.630513+00:00,2026-01-05T15:44:28.668702+00:00,2026-01-05T15:46:26.400547+00:00,,
SYN-0124,2026-01-05T15:29:58.539496+00:00,2026-01-05T15:45:13.864411+00:00,2026-01-05T15:49:55.464769+00:00,,
SYN-0125,2026-01-05T15:32:46.354049+00:00,2026-01-05T15:46:26.400547+00:00,2026-01-05T15:49:59.327312+00:00,,
SYN-0126,2026-01-05T15:34:36.226047+00:00,2026-01-05T15:49:55.464769+00:00,2026-01-05T15:53:27.376578+00:00,,
SYN-0127,2026-01-05T15:42:04.028986+00:00,2026-01-05T15:49:59.327312+00:00,2026-01-05T15:52:30.758888+00:00,,
SYN-0128,2026-01-05T15:43:23.750618+00:00,2026-01-05T15:52:30.758888+00:00,2026-01-05T15:59:31.427285+00:00,,
SYN-0129,2026-01-05T15:46:16.577665+00:00,2026-01-05T15:53:27.376578+00:00,,,
SYN-0130,2026-01-05T15:55:07.736904+00:00,2026-01-05T15:59:31.427285+00:00,,,
SYN-0131,2026-01-05T15:57:50.059877+00:00,,,,
